Date,Balance,Price,plotting_date,% Change in Balance,Balance Diff,Value $ ,Value £ ,Change in Value
2021-04-07 09:54:58,0.0,0,2021-04-07,-100.0,0.0,0.0,0.0,0.0
2021-04-07 10:24:58,0.0,0,2021-04-07,-100.0,0.0,0.0,0.0,0.0
2021-04-07 10:55:04,0.0,0,2021-04-07,-100.0,0.0,0.0,0.0,0.0
2021-04-07 11:40:42,5500.0,0,2021-04-07,0.0,5500.0,0.0,0.0,0.0
2021-04-07 12:02:49,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:03:42,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:25:05,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:54:58,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 01:24:58,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 01:29:49,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 01:31:45,5500.0,0,2021-04-07,inf,0.0,0.0,0.0,0.0
2021-04-07 02:06:35,5500.0,0,2021-04-07,inf,0.0,0.0,0.0,0.0
2021-04-07 02:15:22,5500.0,0,2021-04-07,inf,0.0,0.0,0.0,0.0
2021-04-07 02:45:23,5500.0,0,2021-04-07,inf,0.0,0.0,0.0,0.0
2021-04-07 03:15:21,5500.0,0,2021-04-07,inf,0.0,0.0,0.0,0.0
2021-04-07 04:06:55,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 04:07:21,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 04:15:29,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 04:16:51,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 04:27:16,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 04:53:31,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 05:48:39,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 05:51:37,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 06:09:25,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 06:10:31,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 06:26:22,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 06:28:09,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 06:34:49,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 06:45:21,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 07:05:52,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 07:07:27,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 07:11:29,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
