Date,Balance
08/07,147.75052631578947
08/07,148.01947368421054
08/07,148.28842105263158
08/07,148.55736842105262
08/07,148.82631578947368
08/07,149.09526315789475
08/07,149.36421052631582
08/07,149.63315789473685
08/07,149.9021052631579
08/07,150.17105263157896
08/07,150.49
08/07,150.04
08/07,150.34
08/07,150.66
08/07,150.98000000000005
08/07,151.3
08/07,151.51
08/07,151.69
08/07,151.87
08/07,151.93
08/07,151.67
08/07,151.28
08/07,151.485
08/07,151.69
08/07,151.80666666666667
08/07,151.92333333333332
08/07,152.04
08/07,152.35
08/07,152.89
08/07,153.06
08/07,152.615
08/07,152.42000000000004
08/07,152.32
08/07,152.2
08/07,152.16
08/07,152.015
08/07,151.9425
08/07,151.87
08/07,152.084
08/07,152.298
08/07,152.512
08/07,152.726
09/07,152.94
09/07,153.154
09/07,153.368
09/07,153.582
09/07,153.796
09/07,154.01
09/07,154.22400000000005
09/07,154.43800000000005
09/07,154.65200000000004
09/07,154.866
09/07,155.08
09/07,155.29399999999995
09/07,155.50799999999995
09/07,155.722
09/07,155.936
09/07,154.89
09/07,154.36333333333332
09/07,153.83666666666667
09/07,153.31
09/07,153.87
09/07,153.695
09/07,153.52
09/07,153.67000000000004
09/07,153.82
09/07,154.04000000000005
09/07,154.83000000000004
09/07,155.62
09/07,156.41
09/07,156.65166666666667
09/07,156.89333333333337
09/07,157.135
09/07,157.3766666666667
09/07,157.61833333333334
09/07,157.86
09/07,157.71
09/07,157.77
09/07,157.799375
09/07,157.79
09/07,157.77
09/07,157.60500000000005
09/07,157.44
09/07,157.54243243243243
09/07,157.64486486486487
09/07,157.7472972972973
09/07,157.84972972972972
09/07,157.95216216216215
09/07,158.0545945945946
09/07,158.15702702702703
10/07,158.25945945945946
10/07,158.3618918918919
10/07,158.4643243243243
10/07,158.56675675675675
10/07,158.66918918918918
10/07,158.77162162162162
10/07,158.87405405405406
10/07,158.9764864864865
10/07,159.0789189189189
10/07,159.18135135135134
10/07,159.28378378378378
10/07,159.38621621621618
10/07,159.48864864864862
10/07,159.5910810810811
10/07,159.6935135135135
10/07,159.7959459459459
10/07,159.89837837837837
10/07,160.0008108108108
10/07,160.10324324324324
10/07,160.20567567567568
10/07,160.3081081081081
10/07,160.41054054054052
10/07,160.51297297297296
10/07,160.6154054054054
10/07,160.71783783783786
10/07,160.8202702702703
10/07,160.9227027027027
10/07,161.02513513513512
10/07,161.12756756756755
10/07,161.22
10/07,164.11686274509805
10/07,167.0137254901961
10/07,169.91058823529409
10/07,172.80745098039216
10/07,175.70431372549018
10/07,178.60117647058826
10/07,181.49803921568628
10/07,184.3949019607843
10/07,187.29176470588246
10/07,190.18862745098042
10/07,193.0854901960784
10/07,195.98235294117646
10/07,198.87921568627445
10/07,201.77607843137253
10/07,204.67294117647057
10/07,207.56980392156865
10/07,210.46666666666667
10/07,213.36352941176472
11/07,216.26039215686282
11/07,219.15725490196084
11/07,222.05411764705883
11/07,224.95098039215682
11/07,227.8478431372549
11/07,230.74470588235286
11/07,233.641568627451
11/07,236.538431372549
11/07,239.43529411764703
11/07,242.33215686274508
11/07,245.22901960784316
11/07,248.12588235294118
11/07,251.02274509803917
11/07,253.91960784313724
11/07,256.81647058823535
11/07,259.7133333333333
11/07,262.6101960784314
11/07,265.5070588235294
11/07,268.40392156862737
11/07,271.30078431372544
11/07,274.1976470588235
11/07,277.09450980392154
11/07,279.99137254901956
11/07,282.88823529411764
11/07,285.7850980392156
11/07,288.6819607843137
11/07,291.57882352941175
11/07,294.4756862745098
11/07,297.3725490196078
11/07,300.2694117647058
11/07,303.1662745098039
11/07,306.0631372549019
11/07,308.96
11/07,308.92999999999995
11/07,308.9
11/07,308.87333333333333
11/07,308.84666666666664
11/07,308.82
11/07,309.12714285714287
11/07,309.4342857142857
11/07,309.74142857142857
11/07,310.04857142857145
11/07,310.3557142857143
11/07,310.66285714285715
11/07,310.97
11/07,312.5475949367089
11/07,314.12518987341775
11/07,315.7027848101266
12/07,317.28037974683554
