Date,Balance,Price,% Change_in_Balance,Balance_Diff,Value_Dollars,Change_in_Value
21/07,27.609756097560968,0.15,2.1660649819494227,0.048780487804862105,1.558294634146341,0.0073170731707293156
21/07,27.65853658536585,0.15,2.16216216216214,0.04878048780488342,1.5610478048780485,0.007317073170732513
21/07,27.707317073170728,0.15,2.1582733812949506,0.048780487804876316,1.5638009756097557,0.007317073170731447
21/07,27.756097560975608,0.15,2.154398563734272,0.04878048780487987,1.5665541463414632,0.00731707317073198
21/07,27.804878048780488,0.15,2.1505376344086002,0.04878048780487987,1.5693073170731706,0.00731707317073198
21/07,27.853658536585368,0.15,2.146690518783556,0.04878048780487987,1.572060487804878,0.00731707317073198
21/07,27.902439024390244,0.15,2.1428571428571352,0.048780487804876316,1.5748136585365853,0.007317073170731447
21/07,27.951219512195124,0.15,2.1390374331550666,0.04878048780487987,1.5775668292682927,0.00731707317073198
21/07,28.0,0.15,2.1352313167259718,0.048780487804876316,1.58032,0.007317073170731447
21/07,28.0,0.15,1.9538188277087087,0.0,1.58032,0.0
21/07,28.0,0.15,1.773049645390068,0.0,1.58032,0.0
21/07,28.0,0.15,1.5929203539822634,0.0,1.58032,0.0
21/07,28.0,0.15,1.413427561837488,0.0,1.58032,0.0
21/07,28.0,0.15,1.2345679012345734,0.0,1.58032,0.0
21/07,28.0,0.15,1.0563380281690238,0.0,1.58032,0.0
21/07,28.00711743772242,0.14982206405693949,0.9043774118294712,0.007117437722421016,1.5807217081850533,0.001066349210369839
21/07,28.014234875444842,0.149644128113879,0.7529499906349546,0.007117437722421016,1.581123416370107,0.0010650827623765258
21/07,28.02135231316727,0.1494661921708185,0.6020529632099869,0.0071174377224281216,1.5815251245551607,0.0010638163143842742
21/07,28.028469750889677,0.149288256227758,0.45168354776894404,0.007117437722406805,1.5819268327402134,0.0010625498663877774
21/07,28.03558718861209,0.1491103202846975,0.3018389819455125,0.007117437722413911,1.5823285409252663,0.0010612834183955262
21/07,28.04270462633452,0.148932384341637,0.15251652262329163,0.0071174377224281216,1.5827302491103201,0.0010600169704043305
22/07,28.04982206405694,0.14875444839857652,0.1779359430605032,0.007117437722421016,1.5831319572953737,0.001058750522409959
22/07,28.05693950177936,0.14857651245551598,0.20335536349771477,0.007117437722421016,1.583533665480427,0.0010574840744166454
22/07,28.064056939501786,0.1483985765124555,0.22877478393494854,0.007117437722424569,1.5839353736654807,0.0010562176264238593
22/07,28.071174377224196,0.14822064056939502,0.2541942043721379,0.007117437722410358,1.5843370818505336,0.0010549511784284393
22/07,28.078291814946624,0.1480427046263345,0.2796136248093717,0.0071174377224281216,1.5847387900355874,0.0010536847304377574
22/07,28.085409252669038,0.14786476868327406,0.30503304524656105,0.007117437722413911,1.5851404982206405,0.001052418282442342
22/07,28.09252669039146,0.14768683274021352,0.3049555273189286,0.007117437722421016,1.5855422064056939,0.0010511518344500789
22/07,28.09964412811388,0.147508896797153,0.304878048780477,0.007117437722421016,1.5859439145907472,0.0010498853864567654
22/07,28.106761565836297,0.14733096085409253,0.3048006096011857,0.007117437722417463,1.5863456227758006,0.0010486189384629288
22/07,28.11387900355872,0.14715302491103202,0.3047232097511454,0.007117437722421016,1.586747330960854,0.0010473524904701388
